wave,conf_tv,trust,discuss,national_pride,income_inequality,party_vote,conf_gov,sign_petition,boycott,democracy,imp_family,happiness,leisure,imp_friends,imp_work,pol_interest,sex,age,educ,income,party_vote_local,party_vote2,party_vote3,survey_interest,regime_supporter,interested_pol,interested_survey,treatment,selfcens_vote,selfcens_petition,selfcens_boycott,selfcens_confgov,selfcens_democracy,selfcens_conftv,selfcens_trust,selfcens_incomeineq,selfcens_nationalpride,selfcens_discuss,selfcens_family,selfcens_happiness,selfcens_leisure,selfcens_friends,selfcens_work,selfcens_index1,selfcens_index2,selfcens_index3,match_group
3,3,2,3,1,7,4,3,3,3,2,1,2,1,1,1,4,1,53,2,3,50004,50003,50003,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.726
3,2,2,2,1,5,1,1,3,3,1,1,2,2,2,1,3,1,26,1,3,50001,50003,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.125
3,2,2,2,2,10,1,2,-1,-1,1,1,2,2,2,1,2,2,38,3,8,50001,50003,-1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.184
3,1,2,2,1,1,3,1,-1,3,1,1,2,2,2,1,3,2,35,2,7,50003,50001,-1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0.1.330
3,2,-1,2,1,5,5,2,-1,3,1,1,2,1,1,2,2,1,35,3,5,5,50001,-1,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,1.1.389
3,2,-1,2,1,10,1,1,-1,2,2,1,2,2,2,2,2,2,28,3,5,50001,50001,-1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,1.1.142
3,2,2,2,2,9,5,3,-1,-1,1,1,3,1,1,1,4,2,48,3,6,5,50001,50004,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0.1.572
3,3,2,2,1,3,3,4,3,3,2,1,2,1,2,1,4,2,38,3,7,50003,50001,50001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.648
3,1,2,2,2,7,1,1,1,-1,1,1,1,2,2,1,2,2,38,3,8,50001,50003,50004,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.184
3,2,2,2,1,5,1,1,-1,2,1,1,1,2,2,1,3,2,32,3,8,50001,50003,50004,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0.1.235
3,3,2,1,1,10,1,2,1,3,1,1,2,2,1,1,1,2,27,3,8,50001,50003,50004,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.155
3,4,2,2,1,10,3,3,-1,-1,2,1,1,2,2,1,4,2,44,3,5,50003,50003,-1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0.1.572
3,2,2,1,1,2,1,1,-1,-1,1,1,4,4,2,1,1,1,48,1,2,50001,50003,50004,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.286
3,3,2,2,1,8,1,3,1,2,1,1,2,2,2,1,3,2,42,3,6,50001,50001,50004,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.572
3,2,2,3,1,5,5,2,3,-1,1,1,1,1,2,1,4,1,49,3,8,5,50001,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0.1.283
3,3,2,2,1,5,1,3,-1,-1,1,1,2,1,1,1,3,1,36,3,5,50001,50001,-1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0.1.595
3,2,1,2,1,6,5,2,-1,-1,1,1,1,3,2,1,2,1,27,3,7,5,50001,-1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.198
3,2,2,2,1,8,3,2,-1,-1,1,1,2,2,1,1,3,1,19,3,6,50003,50001,50004,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0.1.38
3,1,2,1,1,10,1,1,3,2,1,1,2,1,1,1,2,1,24,3,7,50001,50003,50004,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.37
3,2,2,2,1,5,5,2,3,3,1,1,3,2,1,1,2,1,62,3,4,5,50003,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.84
3,3,2,2,1,5,1,2,1,2,1,1,2,2,2,1,1,1,52,3,6,50001,50003,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.177
3,2,2,2,1,6,5,1,-1,-1,1,1,1,2,1,1,2,1,32,3,6,5,50003,-1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.389
3,1,2,2,1,6,1,1,3,-1,1,1,2,2,2,1,2,1,41,2,5,50001,50003,-1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.124
3,2,2,2,1,6,5,2,-1,3,1,1,1,1,1,1,2,1,47,3,7,5,50003,-1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.103
3,1,1,2,1,5,1,1,-1,-1,1,1,3,2,1,1,2,1,28,3,4,50001,50003,50002,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.46
3,-1,2,3,1,-1,5,-1,-1,-1,1,1,2,1,1,2,4,1,55,1,2,5,50001,-1,2,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,20,60,60,0.1.604
3,1,1,2,1,5,1,1,-1,-1,1,1,3,1,1,1,1,1,40,1,6,50001,50001,50004,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.171
3,2,-1,2,1,3,1,1,-1,3,1,1,2,2,1,1,2,1,51,1,8,50001,50002,5,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,1.1.113
3,2,-1,1,1,10,5,3,3,3,1,1,1,1,1,1,1,1,27,3,8,5,50002,50004,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-20,0,0,1.1.391
3,-1,2,3,2,4,5,-1,-1,-1,-1,1,2,1,1,1,4,2,38,1,1,5,50002,-1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,60,80,80,0.1.43
3,2,2,1,1,6,3,1,-1,-1,1,1,2,1,1,1,1,1,40,3,6,50003,50002,50004,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.230
3,1,2,2,1,2,3,2,-1,-1,1,1,1,2,1,1,2,1,19,2,9,50003,50001,-1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.205
3,2,1,3,1,2,5,2,3,3,1,1,1,4,2,1,4,2,19,3,8,5,50001,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.326
3,3,2,2,1,10,3,2,3,3,1,1,2,2,1,1,2,2,18,3,7,50003,50001,50002,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.87
3,3,1,1,1,6,1,2,3,3,1,1,2,1,1,1,1,1,40,3,7,50001,50001,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.230
3,2,2,3,1,5,1,2,-1,-1,1,1,2,1,1,1,1,1,42,1,5,50001,50003,-1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.13
3,2,2,2,1,10,5,2,3,-1,1,1,3,1,1,1,3,1,28,3,5,5,50004,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0.1.445
3,2,2,2,1,8,1,1,3,3,1,1,2,2,1,1,3,1,40,1,5,50001,50004,50004,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.434
3,2,2,2,1,5,3,2,-1,-1,1,1,2,3,1,1,3,1,46,2,7,50003,50004,-1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0.1.325
3,-1,-1,3,2,6,1,-1,-1,-1,1,1,2,1,1,1,4,1,72,1,3,50001,50003,50004,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,20,60,60,0.1.607
3,2,2,2,1,6,1,1,3,-1,1,1,2,2,1,1,2,1,25,3,6,50001,50004,50004,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.5
3,-1,2,3,-1,5,1,-1,3,3,-1,1,2,2,1,1,4,2,32,1,2,50001,50003,-1,2,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,40,40,0.1.459
3,-1,2,-1,1,3,1,-1,3,3,-1,1,2,3,2,1,4,2,45,1,3,50001,50003,-1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,40,40,0.1.222
3,-1,2,3,-1,5,1,-1,3,3,-1,1,2,-1,1,1,4,2,35,1,3,50001,50003,-1,2,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,20,40,0.1.63
3,-1,2,-1,1,5,5,-1,3,3,-1,1,3,2,1,1,-1,2,30,1,2,5,50003,-1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,40,40,0.1.517
3,-1,2,3,1,5,1,-1,3,3,-1,1,3,2,1,1,4,2,38,1,2,50001,50003,-1,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.163
3,-1,2,2,1,3,1,-1,3,3,1,1,2,1,1,1,2,2,35,1,3,50001,50003,-1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,20,1.1.337
3,2,2,-1,1,10,1,1,-1,-1,1,1,1,1,1,1,4,2,35,2,6,50001,50002,50004,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,20,40,40,0.1.348
3,-1,2,3,1,4,3,-1,3,3,-1,1,2,1,1,1,4,2,28,2,4,50003,50001,-1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.678
3,-1,2,3,2,5,1,-1,3,3,1,1,2,1,1,1,4,2,25,1,6,50001,50003,-1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0.1.367
3,-1,2,3,2,4,5,-1,3,3,-1,1,2,2,2,1,4,2,24,1,3,5,50004,-1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.548
3,-1,2,3,1,1,3,-1,3,3,2,1,1,2,2,1,4,2,20,2,8,50003,50004,-1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0.1.182
3,-1,2,3,1,5,3,-1,3,3,2,1,1,-1,-1,1,4,2,30,1,8,50003,50004,-1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,-20,20,0.1.14
3,3,-1,2,1,5,1,2,3,3,1,1,2,1,2,1,3,1,26,1,3,50001,50003,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-20,0,0,0.1.125
3,2,2,2,1,6,2,1,-1,3,1,1,2,1,1,1,2,1,38,3,5,50002,50001,50003,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.60
3,-1,-1,3,1,5,3,-1,-1,-1,1,1,2,1,2,1,4,1,37,1,5,50003,50001,-1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,20,60,60,0.1.180
3,2,2,2,1,6,1,1,-1,-1,4,1,1,2,2,4,2,1,35,2,6,50001,50003,5,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.398
3,2,2,2,1,3,3,2,3,3,1,1,2,3,2,1,3,1,35,1,8,50003,50001,50004,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.51
3,-1,2,3,2,-1,3,-1,3,3,-1,1,2,1,3,1,-1,2,40,1,5,50003,50001,-1,2,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,40,40,0.1.427
3,-1,2,3,2,4,1,-1,3,3,1,1,1,2,1,1,4,1,45,1,4,50001,50002,-1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0.1.277
3,2,2,1,1,5,3,2,-1,-1,1,1,2,2,1,1,1,1,29,2,5,50003,50001,5,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.185
3,2,-1,1,1,5,1,2,-1,-1,1,1,2,1,2,1,1,1,27,1,4,50001,50003,50004,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,20,40,40,1.1.68
3,2,-1,2,1,4,1,2,-1,-1,1,1,2,1,1,1,1,1,38,1,6,50001,50003,-1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,20,40,40,1.1.14
3,2,2,1,1,5,1,1,-1,-1,1,1,3,1,1,1,1,1,39,1,6,50001,50002,-1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.129
3,-1,2,3,2,-1,1,-1,3,3,-1,1,2,2,1,1,4,2,30,1,7,50001,50003,-1,2,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,40,40,0.1.103
3,2,1,2,1,10,1,1,3,-1,1,1,2,1,1,1,2,1,52,3,6,50001,50004,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.177
3,-1,2,3,2,5,3,-1,-1,-1,-1,1,2,2,1,1,4,2,35,1,3,50003,50004,-1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,60,80,80,0.1.63
3,-1,2,3,1,5,3,-1,3,3,-1,1,1,1,1,1,4,1,60,1,6,50003,50004,-1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.414
3,-1,-1,3,-1,5,3,-1,-1,-1,-1,1,2,2,1,1,4,2,32,1,6,50003,50004,-1,2,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,20,80,80,0.1.13
3,-1,-1,3,2,5,3,-1,-1,-1,-1,1,2,2,1,1,4,2,22,1,3,50003,50001,-1,2,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,40,80,80,0.1.496
3,-1,2,3,2,5,3,-1,3,3,-1,1,2,2,3,1,4,2,35,1,5,50003,50001,-1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.486
3,2,2,2,1,10,1,1,1,1,1,1,1,2,1,1,2,1,42,3,5,50001,50003,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.60
3,2,2,2,1,10,3,1,1,2,1,1,1,3,3,1,3,2,43,3,6,50003,50003,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.572
3,3,2,2,1,10,2,2,1,3,1,1,2,3,1,1,2,1,26,3,7,50002,50004,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.37
3,3,-1,1,1,10,2,1,2,-1,1,1,2,3,2,1,2,2,22,3,8,50002,50003,50001,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,1.1.78
3,4,2,1,1,10,5,1,1,1,1,2,2,3,2,1,1,1,70,3,7,5,50002,50004,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.47
3,2,2,2,1,10,3,2,2,1,1,1,1,3,2,1,2,1,18,3,8,50003,50002,50004,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.210
3,2,2,2,1,10,1,1,2,-1,1,1,1,3,2,1,3,2,27,2,4,50001,50003,50004,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0.1.678
3,2,2,1,1,10,3,1,1,1,1,1,2,3,3,1,1,1,51,3,4,50003,50001,50004,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.84
3,2,2,1,1,10,2,2,1,1,1,1,2,3,2,1,1,1,40,3,5,50002,50001,50001,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.60
3,2,2,3,1,10,3,1,1,-1,1,1,1,3,2,1,3,2,25,2,4,50003,50001,50003,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0.1.295
3,2,2,2,1,10,1,1,2,2,1,1,1,3,2,1,2,2,30,3,8,50001,50002,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.157
3,2,2,2,1,10,1,1,2,-1,1,1,1,3,2,1,2,2,35,2,6,50001,50003,50004,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.393
3,2,2,2,1,10,1,1,1,2,1,1,2,3,2,1,3,1,35,3,5,50001,50001,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1.595
3,1,2,2,1,10,1,1,2,-1,1,1,2,3,2,1,2,2,32,1,3,50001,50003,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.126
3,3,2,2,1,10,1,1,1,1,1,1,2,3,2,1,1,1,52,3,6,50001,50004,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.177
3,2,2,2,1,10,1,1,1,1,1,1,2,3,2,1,1,1,51,3,6,50001,50003,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.177
